de	153672
la	92251
el	74579
que	70387
en	68593
y	56288
a	47741
los	35549
se	29358
del	27821
un	25669
las	24239
con	23786
por	23019
para	21152
una	19664
no	16902
es	15924
su	15902
al	13467
lo	11116
más	10076
como	9351
ha	8968
este	8046
sus	5818
pero	5637
fue	5140
también	4858
esta	4776
o	4714
desde	4162
años	4101
ya	4052
entre	3855
le	3833
está	3786
si	3711
sin	3655
sobre	3561
han	3514
son	3298
dos	3289
todo	3126
hay	3084
hasta	2979
ser	2974
muy	2964
cuando	2927
tiene	2781
parte	2629
año	2594
personas	2576
además	2502
donde	2489
porque	2431
durante	2428
todos	2401
me	2358
así	2345
dijo	2280
gobierno	2258
según	2236
país	2167
uno	2121
puede	2116
día	2058
nos	2044
contra	2037
solo	1985
estado	1937
después	1926
millones	1913
ese	1907
tras	1873
están	1855
nacional	1826
presidente	1817
ahora	1799
cada	1785
eso	1780
tiempo	1776
sido	1749
hace	1732
vez	1719
esto	1697
otros	1687
momento	1668
tres	1661
ante	1653
e	1649
hacer	1641
ciudad	1629
primera	1587
días	1578
vida	1573
gran	1565
había	1559
qué	1548
estos	1517
lugar	1512
pasado	1508
mismo	1482
hoy	1473
mientras	1466
tanto	1463
cuenta	1456
esa	1455
otro	1452
trabajo	1440
quien	1438
era	1434
horas	1422
caso	1408
menos	1381
antes	1368
partido	1368
aunque	1356
nuevo	1355
bien	1354
mundo	1350
equipo	1347
fueron	1341
hecho	1337
forma	1333
ni	1319
mejor	1318
mi	1308
luego	1306
será	1305
mayor	1267
primer	1266
mucho	1264
semana	1256
tener	1245
te	1244
tienen	1241
manera	1232
salud	1214
nueva	1202
embargo	1190
seguridad	1181
siempre	1155
va	1155
acuerdo	1146
casa	1144
poder	1130
cómo	1113
algo	1109
les	1106
algunos	1087
otra	1065
través	1064
general	1062
estados	1060
ellos	1053
estas	1051
todas	1048
pueden	1047
mil	1019
situación	1016
ver	1016
importante	1007
otras	993
estar	991
medio	989
él	989
muchos	972
meses	970
méxico	967
grupo	962
unos	960
centro	957
estaba	952
final	945
sea	937
yo	928
españa	926
frente	914
sí	908
cuatro	902
poco	902
toda	901
unidos	900
tipo	898
debe	892
hizo	890
estamos	885
ello	873
proyecto	870
sociales	868
zona	868
nivel	867
mes	862
familia	861
autoridades	857
policía	855
san	852
casos	851
tan	849
haber	845
ucrania	843
tenemos	841
quienes	840
tu	840
último	838
nada	831
casi	828
nuestro	821
euros	812
gente	810
público	800
ella	798
historia	796
países	796
mundial	792
política	792
sino	792
nuestra	791
mujer	786
información	785
social	784
ley	778
proceso	778
mujeres	776
programa	774
junto	772
servicio	772
sector	769
fin	767
aún	763
viernes	762
redes	761
lunes	760
total	754
domingo	753
hacia	752
podría	748
argentina	747
dentro	746
cual	745
sistema	745
puntos	744
persona	741
cualquier	739
datos	739
rusia	738
cinco	734
últimos	733
tuvo	732
mañana	730
agua	723
dar	716
respecto	714
varios	714
entonces	713
trata	711
decir	708
lado	708
empresa	707
cambio	700
cerca	700
covid	691
muchas	691
veces	689
sábado	687
segundo	686
bajo	685
número	682
dio	674
cosas	670
hombre	670
personal	669
sentido	669
desarrollo	666
dólares	665
posible	665
misma	660
segunda	659
incluso	657
martes	657
pandemia	657
empresas	653
noche	648
informó	647
tenía	645
debido	639
jueves	638
nunca	638
guerra	637
diferentes	636
miércoles	630
grandes	629
dice	628
mercado	627
ministerio	627
niños	627
punto	626
servicios	626
señaló	623
hora	618
objetivo	618
